# k               u                 rapidity          phi
+2.048928e+22     +7.768885e-01     +0.000000e+00     +1.191009e-45
+2.776994e+22     +7.807372e-01     +0.000000e+00     +6.483560e-46
+3.755041e+22     +7.845566e-01     +0.000000e+00     +3.546010e-46
+5.065717e+22     +7.883464e-01     +0.000000e+00     +1.948416e-46
+6.817873e+22     +7.921066e-01     +0.000000e+00     +1.075648e-46
+9.154480e+22     +7.958369e-01     +0.000000e+00     +5.966207e-47
+1.226282e+23     +7.995373e-01     +0.000000e+00     +3.324935e-47
+1.638757e+23     +8.032075e-01     +0.000000e+00     +1.861834e-47
+2.184746e+23     +8.068476e-01     +0.000000e+00     +1.047519e-47
+2.905663e+23     +8.104572e-01     +0.000000e+00     +5.922079e-48
+3.855162e+23     +8.140363e-01     +0.000000e+00     +3.364224e-48
+5.102564e+23     +8.175848e-01     +0.000000e+00     +1.920390e-48
+6.737181e+23     +8.211025e-01     +0.000000e+00     +1.101555e-48
+8.873753e+23     +8.245893e-01     +0.000000e+00     +6.349647e-49
+1.165927e+24     +8.280450e-01     +0.000000e+00     +3.678116e-49
+1.528149e+24     +8.314696e-01     +0.000000e+00     +2.141109e-49
+1.997956e+24     +8.348629e-01     +0.000000e+00     +1.252555e-49
+2.605721e+24     +8.382247e-01     +0.000000e+00     +7.363959e-50
+3.389902e+24     +8.415550e-01     +0.000000e+00     +4.351026e-50
+4.399054e+24     +8.448536e-01     +0.000000e+00     +2.583728e-50
+5.694296e+24     +8.481203e-01     +0.000000e+00     +1.542003e-50
+7.352336e+24     +8.513552e-01     +0.000000e+00     +9.249438e-51
+9.469147e+24     +8.545580e-01     +0.000000e+00     +5.576292e-51
+1.216445e+25     +8.577286e-01     +0.000000e+00     +3.378966e-51
+1.558714e+25     +8.608669e-01     +0.000000e+00     +2.057962e-51
+1.992178e+25     +8.639729e-01     +0.000000e+00     +1.259830e-51
+2.539649e+25     +8.670462e-01     +0.000000e+00     +7.752049e-52
+3.229234e+25     +8.700870e-01     +0.000000e+00     +4.794726e-52
+4.095447e+25     +8.730950e-01     +0.000000e+00     +2.981014e-52
+5.180544e+25     +8.760701e-01     +0.000000e+00     +1.863026e-52
+6.536086e+25     +8.790122e-01     +0.000000e+00     +1.170384e-52
+8.224788e+25     +8.819213e-01     +0.000000e+00     +7.391200e-53
+1.032268e+26     +8.847971e-01     +0.000000e+00     +4.692290e-53
+1.292163e+26     +8.876396e-01     +0.000000e+00     +2.994525e-53
+1.613227e+26     +8.904487e-01     +0.000000e+00     +1.921217e-53
+2.008739e+26     +8.932243e-01     +0.000000e+00     +1.239130e-53
+2.494582e+26     +8.959662e-01     +0.000000e+00     +8.034702e-54
+3.089689e+26     +8.986745e-01     +0.000000e+00     +5.237617e-54
+3.816549e+26     +9.013488e-01     +0.000000e+00     +3.432603e-54
+4.701783e+26     +9.039893e-01     +0.000000e+00     +2.261694e-54
+5.776790e+26     +9.065957e-01     +0.000000e+00     +1.498272e-54
+7.078473e+26     +9.091680e-01     +0.000000e+00     +9.978737e-55
+8.650041e+26     +9.117060e-01     +0.000000e+00     +6.682117e-55
+1.054191e+27     +9.142098e-01     +0.000000e+00     +4.498950e-55
+1.281265e+27     +9.166791e-01     +0.000000e+00     +3.045492e-55
+1.553013e+27     +9.191139e-01     +0.000000e+00     +2.072850e-55
+1.877257e+27     +9.215140e-01     +0.000000e+00     +1.418573e-55
+2.262987e+27     +9.238795e-01     +0.000000e+00     +9.761335e-56
+2.720489e+27     +9.262102e-01     +0.000000e+00     +6.753653e-56
+3.261486e+27     +9.285061e-01     +0.000000e+00     +4.698297e-56
+3.899282e+27     +9.307670e-01     +0.000000e+00     +3.286366e-56
+4.648914e+27     +9.329928e-01     +0.000000e+00     +2.311331e-56
